Country,StationName,WMOStationNumber,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Decem
ALEX,TAMANRASSET,60680,mm,0,0,0,0.2,1.6,2.8,1.7,1.9,4.7,0.8,0,0.1
ALEX,TAMANRASSET,60680,mm,0,0.1,1.6,2.7,5.5,5.8,9.2,6.8,20.1,4.2,0.6,2.2
ALEX,TAMANRASSET,60680,mm,35.5,16.9,52,17.5,77.2,26.1,34.2,66.7,51.1,36.8,33.6,31.3
ARGENTINA,VILLA DOLORES AERO,87328,mm,119.1,91.3,75.6,35.1,11.2,9.9,10.5,8.1,25.5,38.7,66.8,118.4
ARGENTINA,VILLA DOLORES AERO,87328,mm,56.4,24,6.3,345,0,0,0,0,0,0,11.3,46.5
ARGENTINA,VILLA DOLORES AERO,87328,mm,1974,1971,1976,1975,1972,1966,1964,1963,1962,1969,1970,1971
ARGENTINA,VILLA DOLORES AERO,87328,mm,330.7,180.2,223.8,107.3,52.7,55,114.2,54.4,98.1,113.8,124.7,248.8
ARGENTINA,VILLA DOLORES AERO,87328,mm,1981,1980,1973,1980,1974,1979,1985,1965,1972,1961,1979,1988
ARGENTINA,VILLA DOLORES AERO,87328,mm,30,29,30,30,30,30,30,30,30,30,30,29
ARGENTINA,CORDOBA AERO,87344,mm,133.3,109.7,116.1,51.1,21.5,11.8,14.3,11.4,38.2,73.1,107.3,148.7
ARGENTINA,CORDOBA AERO,87344,mm,45,20.2,19.1,4.2,0.3,0,0,0,0,6.1,33.7,31.5
ARGENTINA,CORDOBA AERO,87344,mm,1980,1962,1965,1970,1986,1961,1964,1961,1962,1969,1977,1975
ARGENTINA,CORDOBA AERO,87344,mm,302.4,209.7,257.3,199.8,133.4,48.9,124.4,42.4,153.3,187.9,260.5,296.1
ARGENTINA,CORDOBA AERO,87344,mm,1981,1980,1973,1981,1961,1968,1985,1975,1967,1961,1976,1977
ARGENTINA,CORDOBA AERO,87344,mm,30,30,30,30,30,30,30,30,30,30,30,30
ARGENTINA,CORDOBA OBS,87345,mm,121.7,99.8,110.3,52.2,18.9,11.4,12.8,9.7,33.8,66.4,96.6,136.9
ARGENTINA,CORDOBA OBS,87345,mm,24.2,20.8,5.9,1.1,0.4,0,0,0,0,11.3,29.2,33.3
ARGENTINA,CORDOBA OBS,87345,mm,1980,1962,1979,1970,1986,1961,1964,1966,1962,1975,1977,1975
ARGENTINA,CORDOBA OBS,87345,mm,311.5,169.9,324.5,263.5,79.5,58.1,111.4,40,161.9,192.7,224.9,286.8
ARGENTINA,CORDOBA OBS,87345,mm,1979,1974,1975,1981,1961,1968,1985,1968,1978,1964,1966,1977
ARGENTINA,CORDOBA OBS,87345,mm,30,29,30,30,30,30,30,30,30,30,30,30
ARGENTINA,PILAR OBS,87349,mm,137.7,104.2,100.2,52.3,17.9,13,15.9,9.2,39.7,63.4,94.3,143.5
ARGENTINA,PILAR OBS,87349,mm,25.2,32.9,17.1,4.7,356,0,0,0,0,10,16.4,24.9
ARGENTINA,PILAR OBS,87349,mm,1980,1964,1979,1962,1978,1962,1961,1966,1966,1971,1971,1982
ARGENTINA,PILAR OBS,87349,mm,281.5,208.4,249.4,198.2,74.6,68.7,117.1,41.3,147.2,174.6,206.5,442.4
ARGENTINA,PILAR OBS,87349,mm,1983,1983,1978,1981,1987,1979,1985,1976,1978,1977,1979,1977
ARGENTINA,PILAR OBS,87349,mm,30,30,30,30,30,30,30,30,30,29,30,30
ARGENTINA,RAFAELA INTA,87359,mm,121.1,130.1,150.5,82,42,24,23.6,24.6,57.1,82.8,102.8,118.8
ARGENTINA,RAFAELA INTA,87359,mm,16,32.4,14.2,5.4,1.7,0,0,0,3.2,15,20.3,7.6
ARGENTINA,RAFAELA INTA,87359,mm,1979,1967,1965,1988,1990,1962,1964,1966,1989,1971,1962,1975
ARGENTINA,RAFAELA INTA,87359,mm,410.1,471.2,402.4,286.6,125.8,114.1,72.4,106.8,246.9,235.5,257.1,349.5
ARGENTINA,RAFAELA INTA,87359,mm,1981,1973,1977,1981,1986,1985,1985,1967,1972,1977,1986,1977
ARGENTINA,RAFAELA INTA,87359,mm,28,29,28,28,28,28,28,28,27,28,27,27
ARGENTINA,PARANA AERO,87374,mm,126.3,127,155.9,101.6,51.6,34,33.6,35.6,69.1,106.4,115.1,112.9
ARGENTINA,PARANA AERO,87374,mm,10.1,39.6,27.6,5.1,234,345,0,234,3,16.1,30.5,20.3
ARGENTINA,PARANA AERO,87374,mm,1980,1986,1965,1968,1988,1987,1964,1973,1976,1964,1967,1975
ARGENTINA,PARANA AERO,87374,mm,347,383.4,371.3,312.8,220.5,93.1,83,169.2,247,326.7,312.7,364.6
ARGENTINA,PARANA AERO,87374,mm,1978,1973,1978,1986,1981,1973,1985,1967,1972,1967,1979,1965
ARGENTINA,PARANA AERO,87374,mm,30,30,30,30,30,30,30,30,29,30,30,30
ARGENTINA,MONTE CASEROS AERO,87393,mm,142.4,160.1,158.2,137.5,103.3,71.6,80.8,69,103.8,140.3,145.6,129.8
ARGENTINA,MONTE CASEROS AERO,87393,mm,8.5,11.5,22.2,24,0.5,13.7,1.6,11.4,13.7,35.6,16.7,32.2
ARGENTINA,MONTE CASEROS AERO,87393,mm,1980,1989,1973,1962,1964,1979,1964,1961,1976,1975,1970,1985
ARGENTINA,MONTE CASEROS AERO,87393,mm,429.8,432.9,355.7,413.3,310.3,168.3,278,218,316,352.7,391.9,379.1
ARGENTINA,MONTE CASEROS AERO,87393,mm,1988,1973,1975,1973,1983,1975,1977,1972,1982,1963,1986,1965
ARGENTINA,ALEX,87393,mm,30,30,30,30,30,30,30,30,30,30,30,30
ARGENTINA,CONCORDIA AERO,87395,mm,121.9,140.1,154.6,132.4,101.4,79,73.9,73.4,100.4,122.3,140.3,115.7
ARGENTINA,CONCORDIA AERO,87395,mm,7.2,6.8,29.1,15,0.9,12.1,10.4,8.2,6.8,12.4,19,21
ARGENTINA,CONCORDIA AERO,87395,mm,1980,1965,1982,1974,1988,1987,1990,1966,1989,1964,1970,1986
ARGENTINA,CONCORDIA AERO,87395,mm,377.6,404.4,351.3,322.5,313.9,408.2,174.1,193,232.9,337.7,326.3,354.3
ARGENTINA,CONCORDIA AERO,87395,mm,1971,1984,1990,1973,1974,1967,1973,1967,1978,1967,1986,1965
ARGENTINA,CONCORDIA AERO,87395,mm,28,28,28,28,28,28,28,27,27,28,28,28
ARGENTINA,MENDOZA AERO,87418,mm,36.4,34.1,27.3,12.7,5.9,4.1,6.7,3.3,7.8,11.1,15.9,24.4
ARGENTINA,MENDOZA AERO,87418,mm,1973,1973,1965,1967,1963,1961,1964,1961,1962,1962,1970,1971
ARGENTINA,MENDOZA AERO,87418,mm,122.9,134.8,148.4,79,32.4,31.2,43.2,21.8,35.8,54.4,78,78.8
ARGENTINA,MENDOZA AERO,87418,mm,1977,1988,1984,1961,1961,1979,1985,1983,1982,1964,1985,1977
ARGENTINA,MENDOZA AERO,87418,mm,30,30,30,30,30,30,30,30,30,30,30,30
ARGENTINA,MENDOZA OBS,87420,mm,37.6,43,31.4,12.9,8,6.1,8.3,4.8,12.1,17.5,20.6,28.8
ARGENTINA,MENDOZA OBS,87420,mm,1973,1972,1965,1967,1963,1966,1968,1970,1980,1965,1969,1965
ARGENTINA,MENDOZA OBS,87420,mm,89.9,175,117.9,74.7,34.7,37,48.3,19.5,52.4,88.6,75,86.8
ARGENTINA,MENDOZA OBS,87420,mm,1970,1990,1973,1981,1975,1979,1985,1971,1982,1968,1976,1983
ARGENTINA,MENDOZA OBS,87420,mm,30,30,30,30,30,30,30,29,30,30,30,30
ARGENTINA,SAN LUIS AERO,87436,mm,109.7,86.9,91.2,42.2,11.6,8.9,10.8,8.1,19.2,35.9,77.4,101.3
ARGENTINA,SAN LUIS AERO,87436,mm,31.3,29.2,13.5,0,0,0,0,0,0,0.5,14.3,0.8
ARGENTINA,SAN LUIS AERO,87436,mm,1968,1981,1983,1967,1963,1962,1961,1964,1962,1988,1971,1971
ARGENTINA,SAN LUIS AERO,87436,mm,212.6,215.6,198.3,148.2,62.2,75.4,159.7,55.4,56.7,112.4,163.3,227.5
ARGENTINA,SAN LUIS AERO,87436,mm,1983,1984,1975,1979,1974,1979,1985,1983,1982,1967,1988,1976
ARGENTINA,SAN LUIS AERO,87436,mm,30,30,30,30,30,30,30,30,30,30,30,30
ARGENTINA,VILLA REYNOLDS AERO,87448,mm,114.9,81.9,96.1,43.3,20.6,13.3,16.5,15.8,28.1,58.6,81.2,112.2
ARGENTINA,VILLA REYNOLDS AERO,87448,mm,36.4,14,14.5,0,120,0,0,0,0,5,11,26.4
